Role,Company,Location
"NLP, Data Scientist",Mango Sciences,"Bengaluru, Karnataka"
Data Scientist,SPAATech Solutions India Pvt Ltd,"Kolkata, West Bengal"
Data Scientist,Volvo Group,"Bengaluru, Karnataka"
Senior Analyst/ Data Scientist - Women In Data Science,Tiger Analytics,"Bengaluru, Karnataka"
Senior Data Scientist,TVS Motor,"Bengaluru, Karnataka"
Data Scientist,predera,"Hyderabad, Telangana"
Data Scientist,Financial Software & Systems (FSS),"Bengaluru, Karnataka"
Data Scientist,Aspire Systems,"Chennai, Tamil Nadu"
Data Scientist,Cliksource,Remote
Data Scientist,Recruitment Smart,"Hybrid remote in Ahmedabad, Gujarat"
Senior Data Scientist (NLP) - CTO - Remote,Icertis,Remote in India
Battery Data Scientist,Ecozen Solutions,"Pune, Maharashtra"
Data Scientist,R3coder,"Ahmedabad, Gujarat"
Quant Analytics- Data and Analytics- Python,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka"
Data Scientist,Xpheno,"Bengaluru, Karnataka"
Data Science,Neosoft Technologies Pvt.Ltd,"Mumbai, Maharashtra"
Data Scientist,Acumen 360°,"Bengaluru, Karnataka"
Data Scientist,S&P Global,"Hyderabad, Telangana"
Data Scientist,Zeta Global,"Bengaluru, Karnataka"
Associate Consultant / Consultant – Data Science,PharmaACE,"Pune, Maharashtra"
Data Scientist Internship,Brimming Grace Capital Pvt Ltd,"Gurgaon, Haryana"
Data Scientist Intern,zBliss Technologies,"Temporarily Remote in Bengaluru, Karnataka"
Data Scientist,BitsCrunch,India
"Manager MLOps, Data Science",Mondelēz International,"Mumbai, Maharashtra"
Assistant Manager - Data Scientist,Genpact,"Bengaluru, Karnataka"
Data Scientist,Imurgence,"Jamshedpur, Jharkhand"
Analyst-Data Science,Accenture,"Mumbai, Maharashtra"
Analyst - Data Science,Merilytics,"Hyderabad, Telangana"
Data Science,Zee Entertainment Enterprises,"Bengaluru, Karnataka"
Vice President - Data Analytics Scientist,Morgan Stanley,"Bengaluru, Karnataka"
